file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,b4574ee4,Allie Shi,2026-04-02,11:02:20,-07:00,2026-04-02T11:02:20-07:00,0,4
style.css,2,css,3884b31e,Allie Shi,2026-05-02,23:30:17,-07:00,2026-05-02T23:30:17-07:00,1,23
style.css,3,css,3884b31e,Allie Shi,2026-05-02,23:30:17,-07:00,2026-05-02T23:30:17-07:00,1,15
style.css,4,css,3884b31e,Allie Shi,2026-05-02,23:30:17,-07:00,2026-05-02T23:30:17-07:00,1,42
style.css,5,css,3884b31e,Allie Shi,2026-05-02,23:30:17,-07:00,2026-05-02T23:30:17-07:00,1,15
style.css,6,css,338e0c5e,Allie Shi,2026-04-09,16:54:18,-07:00,2026-04-09T16:54:18-07:00,0,0
style.css,7,css,3884b31e,Allie Shi,2026-05-02,23:30:17,-07:00,2026-05-02T23:30:17-07:00,0,0
style.css,8,css,3884b31e,Allie Shi,2026-05-02,23:30:17,-07:00,2026-05-02T23:30:17-07:00,0,5
style.css,9,css,3884b31e,Allie Shi,2026-05-02,23:30:17,-07:00,2026-05-02T23:30:17-07:00,1,31
style.css,10,css,3884b31e,Allie Shi,2026-05-02,23:30:17,-07:00,2026-05-02T23:30:17-07:00,0,0
style.css,11,css,3884b31e,Allie Shi,2026-05-02,23:30:17,-07:00,2026-05-02T23:30:17-07:00,0,0
style.css,12,css,338e0c5e,Allie Shi,2026-04-09,16:54:18,-07:00,2026-04-09T16:54:18-07:00,0,4
style.css,13,css,3884b31e,Allie Shi,2026-05-02,23:30:17,-07:00,2026-05-02T23:30:17-07:00,1,23
style.css,14,css,3884b31e,Allie Shi,2026-05-02,23:30:17,-07:00,2026-05-02T23:30:17-07:00,1,32
style.css,15,css,3884b31e,Allie Shi,2026-05-02,23:30:17,-07:00,2026-05-02T23:30:17-07:00,0,0
style.css,16,css,3884b31e,Allie Shi,2026-05-02,23:30:17,-07:00,2026-05-02T23:30:17-07:00,0,0
style.css,17,css,3884b31e,Allie Shi,2026-05-02,23:30:17,-07:00,2026-05-02T23:30:17-07:00,0,14
style.css,18,css,3884b31e,Allie Shi,2026-05-02,23:30:17,-07:00,2026-05-02T23:30:17-07:00,1,16
style.css,19,css,338e0c5e,Allie Shi,2026-04-09,16:54:18,-07:00,2026-04-09T16:54:18-07:00,0,0
style.css,20,css,b55e6bbd,Allie Shi,2026-05-02,21:37:55,-07:00,2026-05-02T21:37:55-07:00,0,0
style.css,21,css,338e0c5e,Allie Shi,2026-04-09,16:54:18,-07:00,2026-04-09T16:54:18-07:00,0,3
style.css,22,css,3884b31e,Allie Shi,2026-05-02,23:30:17,-07:00,2026-05-02T23:30:17-07:00,1,39
style.css,23,css,c0e932cd,Allie Shi,2026-04-17,14:12:50,-07:00,2026-04-17T14:12:50-07:00,0,0
style.css,24,css,3884b31e,Allie Shi,2026-05-02,23:30:17,-07:00,2026-05-02T23:30:17-07:00,1,12
style.css,25,css,3884b31e,Allie Shi,2026-05-02,23:30:17,-07:00,2026-05-02T23:30:17-07:00,1,17
style.css,26,css,3884b31e,Allie Shi,2026-05-02,23:30:17,-07:00,2026-05-02T23:30:17-07:00,1,41
style.css,27,css,338e0c5e,Allie Shi,2026-04-09,16:54:18,-07:00,2026-04-09T16:54:18-07:00,0,0
style.css,28,css,3884b31e,Allie Shi,2026-05-02,23:30:17,-07:00,2026-05-02T23:30:17-07:00,0,0
style.css,29,css,338e0c5e,Allie Shi,2026-04-09,16:54:18,-07:00,2026-04-09T16:54:18-07:00,0,5
style.css,30,css,3884b31e,Allie Shi,2026-05-02,23:30:17,-07:00,2026-05-02T23:30:17-07:00,1,6
style.css,31,css,3884b31e,Allie Shi,2026-05-02,23:30:17,-07:00,2026-05-02T23:30:17-07:00,1,20
style.css,32,css,3884b31e,Allie Shi,2026-05-02,23:30:17,-07:00,2026-05-02T23:30:17-07:00,1,13
style.css,33,css,3884b31e,Allie Shi,2026-05-02,23:30:17,-07:00,2026-05-02T23:30:17-07:00,1,17
style.css,34,css,3884b31e,Allie Shi,2026-05-02,23:30:17,-07:00,2026-05-02T23:30:17-07:00,1,15
style.css,35,css,338e0c5e,Allie Shi,2026-04-09,16:54:18,-07:00,2026-04-09T16:54:18-07:00,0,0
style.css,36,css,338e0c5e,Allie Shi,2026-04-09,16:54:18,-07:00,2026-04-09T16:54:18-07:00,0,0
style.css,37,css,338e0c5e,Allie Shi,2026-04-09,16:54:18,-07:00,2026-04-09T16:54:18-07:00,0,13
style.css,38,css,3884b31e,Allie Shi,2026-05-02,23:30:17,-07:00,2026-05-02T23:30:17-07:00,1,43
